Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,29,Office Supplies,Online,L,1/27/2011,2156,2/12/2011,4484,651.21,524.96,8215,8371,7176
Europe,85,Beverages,Online,C,12/28/2015,2907,1/23/2016,1075,47.45,31.79,695,707,803
Middle East and North Africa,122,Vegetables,Offline,C,1/13/2011,471,2/1/2011,6515,154.06,90.93,5440,5334,5850
Sub-Saharan Africa,38,Household,Online,C,9/11/2012,4483,10/6/2012,7683,668.27,502.54,9238,9201,9201
Europe,37,Beverages,Online,C,10/27/2015,305,12/5/2015,3491,47.45,31.79,1720,1862,1681
Sub-Saharan Africa,150,Beverages,Offline,H,7/10/2012,4272,8/21/2012,9880,47.45,31.79,3442,3863,3327
Asia,84,Vegetables,Online,L,2/20/2011,8213,3/20/2011,4825,154.06,90.93,4574,4587,4929
Asia,30,Baby Food,Online,C,4/10/2017,5187,5/12/2017,3330,255.28,159.42,4960,5054,5060
Sub-Saharan Africa,47,Meat,Online,L,11/21/2014,3482,1/10/2015,2431,421.89,364.69,5506,6497,3089
Central America and the Caribbean,64,Office Supplies,Online,C,7/4/2015,2564,7/20/2015,6197,651.21,524.96,8840,8896,8192
Sub-Saharan Africa,183,Cereal,Offline,M,7/26/2016,7477,8/24/2016,724,205.7,117.11,1612,1576,1841
Europe,18,Baby Food,Offline,M,10/20/2012,4241,11/15/2012,9145,255.28,159.42,7794,7568,8505
Europe,56,Office Supplies,Online,C,2/22/2015,4462,2/27/2015,6618,651.21,524.96,9011,9019,8365
Asia,68,Household,Online,C,8/27/2016,592,9/2/2016,5338,668.27,502.54,8583,8626,8538
Middle East and North Africa,2,Clothes,Offline,C,6/21/2011,895,7/21/2011,9527,109.28,35.84,5551,4078,7856
Australia and Oceania,123,Snacks,Offline,L,9/19/2013,4481,10/4/2013,441,152.58,97.44,935,889,1168
Central America and the Caribbean,35,Beverages,Online,H,11/15/2015,6007,11/30/2015,1365,47.45,31.79,890,901,1032
Europe,180,Beverages,Online,L,4/6/2015,1177,4/27/2015,2617,47.45,31.79,1450,1560,1437
Middle East and North Africa,86,Personal Care,Offline,H,4/12/2010,1351,5/19/2010,6545,81.73,56.67,3712,4249,3453
Europe,91,Snacks,Offline,H,9/26/2011,8601,10/2/2011,2530,152.58,97.44,2954,3185,3096
Sub-Saharan Africa,102,Cosmetics,Offline,H,5/14/2016,1019,6/18/2016,1983,437.2,263.33,5019,5002,5261
Europe,174,Office Supplies,Online,C,8/14/2010,7165,8/31/2010,3345,651.21,524.96,7640,7890,5937
Europe,132,Snacks,Offline,L,4/13/2012,1639,4/22/2012,7091,152.58,97.44,5693,5719,5670
Asia,76,Cosmetics,Offline,H,9/19/2013,9625,9/28/2013,725,437.2,263.33,2574,2658,2871
Europe,132,Meat,Offline,L,12/2/2015,2313,12/26/2015,3784,421.89,364.69,6916,7455,4084
Europe,90,Vegetables,Offline,L,2/26/2017,1367,2/28/2017,2835,154.06,90.93,3269,3301,3631
Europe,58,Clothes,Online,C,10/9/2016,4596,10/13/2016,6477,109.28,35.84,4425,3055,6416
Europe,1,Baby Food,Offline,C,5/20/2011,228,6/19/2011,339,255.28,159.42,1190,1110,1285
Australia and Oceania,50,Baby Food,Online,M,10/24/2013,2623,12/3/2013,2083,255.28,159.42,3700,4011,3884
Central America and the Caribbean,41,Beverages,Offline,H,6/14/2011,6617,7/20/2011,6401,47.45,31.79,2502,2777,2434
Europe,3,Office Supplies,Online,M,6/20/2015,2959,7/21/2015,16,651.21,524.96,142,181,93
Europe,158,Personal Care,Online,M,8/5/2011,3240,9/1/2011,6684,81.73,56.67,3753,4292,3490
Central America and the Caribbean,168,Baby Food,Offline,L,11/30/2016,4803,1/9/2017,2191,255.28,159.42,3814,4126,4007
Europe,138,Vegetables,Online,H,7/5/2015,5606,7/29/2015,9353,154.06,90.93,6581,6359,7319
Central America and the Caribbean,116,Fruits,Online,L,3/25/2015,9607,5/9/2015,3020,9.33,6.92,385,429,346
Middle East and North Africa,9,Cosmetics,Online,M,8/22/2013,1496,8/30/2013,5072,437.2,263.33,7678,7407,8529
Asia,11,Personal Care,Online,L,12/11/2016,1630,1/13/2017,9420,81.73,56.67,4681,5071,4306
Europe,142,Beverages,Online,H,6/23/2013,1248,7/18/2013,7005,47.45,31.79,2652,2957,2578
Sub-Saharan Africa,102,Fruits,Offline,H,5/8/2015,7365,5/13/2015,803,9.33,6.92,95,106,84
Central America and the Caribbean,75,Baby Food,Offline,H,10/24/2016,7732,11/24/2016,816,255.28,159.42,1952,2039,2075
Europe,74,Cereal,Offline,H,3/10/2013,5974,4/4/2013,9083,205.7,117.11,7262,6945,8274
Asia,17,Clothes,Offline,L,3/18/2012,6351,5/4/2012,4670,109.28,35.84,3618,2421,5249
Middle East and North Africa,170,Clothes,Online,L,2/11/2015,9019,3/2/2015,8675,109.28,35.84,5266,3834,7586
Europe,21,Cosmetics,Offline,L,10/30/2012,4914,11/3/2012,9229,437.2,263.33,8839,8422,9506
Middle East and North Africa,122,Household,Offline,M,7/6/2012,649,8/1/2012,6493,668.27,502.54,9016,8903,8898
Europe,127,Cereal,Offline,C,1/4/2011,3721,2/21/2011,7659,205.7,117.11,6890,6539,7769
Europe,53,Baby Food,Offline,M,10/25/2013,7372,12/10/2013,1950,255.28,159.42,3566,3833,3729
Central America and the Caribbean,75,Baby Food,Offline,C,2/16/2016,5685,3/22/2016,5623,255.28,159.42,6573,6533,6955
Australia and Oceania,7,Personal Care,Online,H,3/16/2014,8344,4/27/2014,6962,81.73,56.67,3860,4370,3580
Middle East and North Africa,149,Fruits,Offline,C,9/24/2016,6148,10/29/2016,1285,9.33,6.92,170,195,148
Europe,147,Cosmetics,Online,M,9/30/2010,5299,11/11/2010,5941,437.2,263.33,8026,7716,8819
Australia and Oceania,137,Clothes,Offline,C,11/5/2010,2956,12/5/2010,5310,109.28,35.84,3910,2653,5656
